                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.6798,                 1.1779,                0.86573,                0.91405,                0.96567,                0.96664,                0.59103,                  1.236,                0.57984,                0.81243,             0.00022574,             0.00022574,             0.00022574
                     50,                 1.7243,                 1.1844,                0.86274,                0.91196,                0.94304,                0.96879,                 0.5907,                 1.2316,                0.57097,                0.81405,             0.00021886,             0.00021886,             0.00021886
                     51,                 1.7133,                 1.1694,                0.86063,                0.90112,                 0.9758,                0.97098,                0.59805,                 1.2483,                0.58702,                0.81323,             0.00021197,             0.00021197,             0.00021197
                     52,                 1.7228,                 1.1892,                0.86359,                0.90987,                0.96489,                0.96605,                0.59871,                 1.2463,                0.57823,                0.81234,             0.00020509,             0.00020509,             0.00020509
                     53,                 1.7225,                 1.1821,                0.86245,                0.89973,                0.95588,                 0.9695,                0.60673,                 1.2153,                0.55705,                0.81337,             0.00019821,             0.00019821,             0.00019821
                     54,                 1.7053,                 1.1437,                0.86187,                0.92108,                 0.9716,                0.97455,                0.60585,                 1.2371,                0.56934,                0.81068,             0.00019133,             0.00019133,             0.00019133
                     55,                 1.7007,                 1.1611,                0.86696,                0.90254,                0.97255,                 0.9669,                0.59683,                 1.2477,                0.57368,                0.81705,             0.00018445,             0.00018445,             0.00018445
                     56,                 1.6906,                  1.138,                0.86133,                0.90281,                0.97589,                 0.9761,                0.60361,                 1.2113,                0.55753,                0.81107,             0.00017757,             0.00017757,             0.00017757
                     57,                 1.6597,                 1.1266,                0.85535,                0.89618,                0.98046,                0.97428,                0.60621,                  1.219,                0.56017,                0.81157,             0.00017069,             0.00017069,             0.00017069
                     58,                 1.6702,                 1.1039,                0.85278,                0.91134,                0.96299,                0.97199,                0.61129,                 1.1707,                0.54919,                0.80677,             0.00016381,             0.00016381,             0.00016381
                     59,                 1.6573,                 1.1154,                0.85827,                0.90965,                0.97894,                0.97021,                0.60465,                 1.1676,                0.54876,                0.80832,             0.00015693,             0.00015693,             0.00015693
                     60,                 1.6552,                 1.1226,                0.85625,                0.91077,                0.98021,                0.97276,                0.60999,                 1.1806,                0.54669,                0.81131,             0.00015005,             0.00015005,             0.00015005
                     61,                 1.6014,                 1.0849,                 0.8503,                0.89679,                0.98229,                0.97335,                0.59304,                 1.1707,                0.54055,                0.80728,             0.00014317,             0.00014317,             0.00014317
                     62,                 1.6551,                 1.1018,                0.85619,                0.88459,                0.98424,                0.97026,                0.60216,                 1.2155,                0.56339,                0.80886,             0.00013629,             0.00013629,             0.00013629
                     63,                 1.6313,                 1.0879,                0.85245,                0.89293,                0.98285,                0.96941,                0.59731,                 1.2041,                0.54174,                0.80985,             0.00012941,             0.00012941,             0.00012941
                     64,                 1.6584,                 1.1075,                0.85619,                0.88702,                0.98332,                0.95742,                0.60566,                 1.1893,                0.55271,                0.80963,             0.00012253,             0.00012253,             0.00012253
                     65,                  1.609,                  1.086,                0.85296,                0.90802,                0.96833,                0.96768,                 0.5989,                  1.182,                0.54816,                0.80738,             0.00011565,             0.00011565,             0.00011565
                     66,                 1.6099,                 1.0904,                0.85203,                0.90677,                0.97784,                0.96392,                0.60568,                 1.1889,                0.53926,                0.80735,             0.00010877,             0.00010877,             0.00010877
                     67,                 1.6079,                 1.0828,                0.84935,                0.89947,                0.98024,                0.96972,                0.62114,                 1.1663,                0.54657,                0.80665,             0.00010189,             0.00010189,             0.00010189
                     68,                 1.6079,                 1.0535,                0.84831,                0.90651,                0.96821,                0.97616,                0.61534,                 1.1675,                0.52663,                0.80679,             9.5006e-05,             9.5006e-05,             9.5006e-05
                     69,                 1.6227,                 1.0786,                0.85037,                0.91915,                0.94554,                0.96878,                0.61805,                 1.1664,                0.53977,                0.80904,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     70,                 1.5849,                 1.0384,                 0.8434,                0.90913,                0.96202,                0.96922,                0.62137,                 1.1566,                0.52525,                0.80788,             8.1245e-05,             8.1245e-05,             8.1245e-05
                     71,                 1.5948,                 1.0523,                0.84551,                0.91878,                 0.9554,                0.96806,                0.62489,                 1.1494,                0.51947,                0.80709,             7.4365e-05,             7.4365e-05,             7.4365e-05
                     72,                 1.5947,                 1.0575,                0.84497,                0.90446,                0.96841,                0.97158,                0.62564,                 1.1497,                0.52085,                0.80646,             6.7485e-05,             6.7485e-05,             6.7485e-05
                     73,                 1.5823,                 1.0539,                0.84752,                0.90153,                0.96681,                0.97023,                0.62011,                 1.1575,                0.52883,                0.80645,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     74,                 1.5676,                 1.0201,                0.84778,                0.89848,                0.97958,                0.96991,                0.62608,                 1.1564,                0.52063,                0.80657,             5.3724e-05,             5.3724e-05,             5.3724e-05
                     75,                 1.6133,                  1.058,                  0.845,                0.89406,                0.97911,                0.97122,                0.61495,                 1.1567,                0.51866,                 0.8074,             4.6843e-05,             4.6843e-05,             4.6843e-05
                     76,                 1.5388,                 1.0084,                0.84215,                0.90571,                0.98216,                0.97776,                 0.6279,                 1.1352,                0.51327,                0.80638,             3.9962e-05,             3.9962e-05,             3.9962e-05
                     77,                 1.5766,                 1.0345,                0.84413,                0.90536,                0.97032,                0.97005,                0.62984,                 1.1422,                0.51236,                0.80704,             3.3082e-05,             3.3082e-05,             3.3082e-05
                     78,                 1.5667,                 1.0388,                 0.8432,                0.91999,                0.96531,                 0.9761,                0.63129,                 1.1374,                0.51451,                0.80489,             2.6201e-05,             2.6201e-05,             2.6201e-05
                     79,                 1.5661,                 1.0308,                0.84083,                 0.9016,                0.97924,                0.97016,                0.63735,                 1.1366,                0.51157,                0.80601,             1.9321e-05,             1.9321e-05,             1.9321e-05
